,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
0,NULL,Sim-Free,NULL,Bundle,Google Pixel 7 Pro,12,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Google Pixel 7 Pro,144,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Instant Discount,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Cashback,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Tradein Bumpup,Google Pixel 7 Pro,150,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Free Subscription,Google Pixel 7 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Bundle,Google Pixel 6 Pro,12,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Free Subscription,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Merchandise,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Device Cost discount,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Instant Discount,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Cashback,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Sim-Free,NULL,Tradein Bumpup,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Bundle,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Merchandise,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Gift Card,Google Pixel 6 Pro,0,Google,20,15-05-2023,Orange,Orange
0,NULL,Rate Plan,NULL,Rate Plan Discount(Max),Google Pixel 6 Pro,144,Google,20,15-05-2023,Orange,Orange
